O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,constituency,constituency_id,pk,District,Constituency Type,position,Gender
1,GOVINDARAJAN T.J,Dravida Munnetra Kazhagam,125001,1451,126452,56.94,Gummidipoondi,1,1-1,Thiruvallur,General,1,M
2,DILLIY K.M,Desiya Murpokku Dravida Kazhagam,2553,23,2576,1.16,Gummidipoondi,1,1-2,Thiruvallur,General,4,M
3,NAGARAJ S,Bahujan Samaj Party,1031,7,1038,0.47,Gummidipoondi,1,1-3,Thiruvallur,General,6,M
4,USHA,Naam Tamilar Katchi,11643,58,11701,5.27,Gummidipoondi,1,1-4,Thiruvallur,General,3,F
5,GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,0,254,0.11,Gummidipoondi,1,1-5,Thiruvallur,General,12,M
6,SARAVANAN V,Indiya Jananayaka Katchi,813,3,816,0.37,Gummidipoondi,1,1-6,Thiruvallur,General,7,M
7,PRAKASH M,Pattali Makkal Katchi,75004,510,75514,34.0,Gummidipoondi,1,1-7,Thiruvallur,General,2,M
8,SARAVANAN E,Independent,526,6,532,0.24,Gummidipoondi,1,1-8,Thiruvallur,General,8,M
9,DEVANATHAN R,Independent,482,0,482,0.22,Gummidipoondi,1,1-9,Thiruvallur,General,9,M
10,PRAKASH K,Independent,349,2,351,0.16,Gummidipoondi,1,1-10,Thiruvallur,General,11,M
11,PRAKASH M,Independent,196,0,196,0.09,Gummidipoondi,1,1-11,Thiruvallur,General,13,M
12,LAKSHMI R,Independent,369,5,374,0.17,Gummidipoondi,1,1-12,Thiruvallur,General,10,F
13,NOTA,None of the Above,1775,8,1783,0.8,Gummidipoondi,1,1-13,Thiruvallur,General,5,Not Applicable
1,DURAI. CHANDRASEKAR,Indian National Congress,93669,859,94528,44.94,Ponneri,2,2-1,Thiruvallur,SC,1,M
2,BALARAMAN. P,All India Anna Dravida Munnetra Kazhagam,84534,305,84839,40.33,Ponneri,2,2-2,Thiruvallur,SC,2,M
3,BHAVANI ILAVENIL. J,Bahujan Samaj Party,1102,4,1106,0.53,Ponneri,2,2-3,Thiruvallur,SC,7,F
4,DESINGURAJAN. D,Makkal Needhi Maiam,5372,22,5394,2.56,Ponneri,2,2-4,Thiruvallur,SC,4,M
5,MAHESWARI. A,Naam Tamilar Katchi,18973,54,19027,9.05,Ponneri,2,2-5,Thiruvallur,SC,3,M
6,PON. RAJA,Amma Makkal Munnettra Kazagam,2813,19,2832,1.35,Ponneri,2,2-6,Thiruvallur,SC,5,M
7,VIJAYAKUMAR. V,Anna MGR Dravida Makkal Kalgam,189,1,190,0.09,Ponneri,2,2-7,Thiruvallur,SC,10,M
8,ASHOK PRIYADARSHAN. S,Independent,470,0,470,0.22,Ponneri,2,2-8,Thiruvallur,SC,8,M
9,SAMBATH KUMAR.C.H,Independent,116,0,116,0.06,Ponneri,2,2-9,Thiruvallur,SC,11,M
10,SUGUMAR. K,Independent,298,0,298,0.14,Ponneri,2,2-10,Thiruvallur,SC,9,M
11,NOTA,None of the Above,1551,3,1554,0.74,Ponneri,2,2-11,Thiruvallur,SC,6,Not Applicable
1,G.Hari,All India Anna Dravida Munnetra Kazhagam,89704,1357,91061,39.15,Tiruttani,3,3-1,Thiruvallur,General,2,M
2,D.Krishnamoorthi,Desiya Murpokku Dravida Kazhagam,3903,25,3928,1.69,Tiruttani,3,3-2,Thiruvallur,General,4,M
3,S.Chandran,Dravida Munnetra Kazhagam,118005,2309,120314,51.72,Tiruttani,3,3-3,Thiruvallur,General,1,M
4,N.MAGENDIRAN,Bahujan Samaj Party,711,6,717,0.31,Tiruttani,3,3-4,Thiruvallur,General,8,M
5,L.AKILA,Naam Tamilar Katchi,11900,107,12007,5.16,Tiruttani,3,3-5,Thiruvallur,General,3,F
6,M.D.Thanigai Malai,Indiya Jananayaka Katchi,352,1,353,0.15,Tiruttani,3,3-6,Thiruvallur,General,10,M
7,Manikkam,All India Jananayaka Makkal Kazhagam,121,0,121,0.05,Tiruttani,3,3-7,Thiruvallur,General,13,M
8,M.Hari,Independent,365,1,366,0.16,Tiruttani,3,3-8,Thiruvallur,General,9,M
9,Chandran,Independent,59,1,60,0.03,Tiruttani,3,3-9,Thiruvallur,General,14,M
10,Chandran,Independent,46,0,46,0.02,Tiruttani,3,3-10,Thiruvallur,General,15,M
11,A.J.Suresh,Independent,174,8,182,0.08,Tiruttani,3,3-11,Thiruvallur,General,11,M
12,Shettu,Independent,147,0,147,0.06,Tiruttani,3,3-12,Thiruvallur,General,12,M
13,D.PAULRAJ,Independent,886,3,889,0.38,Tiruttani,3,3-13,Thiruvallur,General,6,M
14,V.P.Vijayan,Independent,760,8,768,0.33,Tiruttani,3,3-14,Thiruvallur,General,7,M
15,NOTA,None of the Above,1653,12,1665,0.72,Tiruttani,3,3-15,Thiruvallur,General,5,Not Applicable
1,"RAAJENDRAN, V.G.",Dravida Munnetra Kazhagam,106316,1393,107709,50.27,Thiruvallur,4,4-1,Thiruvallur,General,1,M
2,"DOSS, D.",Bahujan Samaj Party,2314,15,2329,1.09,Thiruvallur,4,4-2,Thiruvallur,General,4,M
3,"RAMANAH, BE VEE",All India Anna Dravida Munnetra Kazhagam,84508,500,85008,39.68,Thiruvallur,4,4-3,Thiruvallur,General,2,M
4,"GURU, N.",Amma Makkal Munnettra Kazagam,1072,5,1077,0.5,Thiruvallur,4,4-4,Thiruvallur,General,6,M
5,"PASUPATHY, P.",Naam Tamilar Katchi,14943,85,15028,7.01,Thiruvallur,4,4-5,Thiruvallur,General,3,M
6,"KUMAR, E.",Independent,132,1,133,0.06,Thiruvallur,4,4-6,Thiruvallur,General,10,M
7,"SASIKUMAR, J.",Independent,87,0,87,0.04,Thiruvallur,4,4-7,Thiruvallur,General,12,M
8,"BALA KRISHNAN, N.",Independent,232,0,232,0.11,Thiruvallur,4,4-8,Thiruvallur,General,9,M
9,"RAMANAN, R.",Independent,97,0,97,0.05,Thiruvallur,4,4-9,Thiruvallur,General,11,M
10,"RAJENDIRAN, G.",Independent,385,3,388,0.18,Thiruvallur,4,4-10,Thiruvallur,General,7,M
11,"REVATHI, R.",Independent,281,2,283,0.13,Thiruvallur,4,4-11,Thiruvallur,General,8,F
12,NOTA,None of the Above,1857,15,1872,0.87,Thiruvallur,4,4-12,Thiruvallur,General,5,Not Applicable
1,Krishnaswamy A,Dravida Munnetra Kazhagam,148383,1195,149578,56.72,Poonamallee,5,5-1,Thiruvallur,SC,1,M
2,Sathyamurthy A C,Bahujan Samaj Party,2880,11,2891,1.1,Poonamallee,5,5-2,Thiruvallur,SC,6,M
3,Rajamannar S X,Pattali Makkal Katchi,55249,219,55468,21.03,Poonamallee,5,5-3,Thiruvallur,SC,2,M
4,Elumalai T.A.,Amma Makkal Munnettra Kazagam,8771,34,8805,3.34,Poonamallee,5,5-4,Thiruvallur,SC,5,M
5,Boshya Gayathri M,My India Party,288,2,290,0.11,Poonamallee,5,5-5,Thiruvallur,SC,11,F
6,Manimekalai A,Naam Tamilar Katchi,29804,67,29871,11.33,Poonamallee,5,5-6,Thiruvallur,SC,3,F
7,Revathi Manimegalai J,Makkal Needhi Maiam,11877,50,11927,4.52,Poonamallee,5,5-7,Thiruvallur,SC,4,F
8,Sivakumar S,Independent,403,0,403,0.15,Poonamallee,5,5-8,Thiruvallur,SC,9,M
9,Dhasarathan R,Independent,173,0,173,0.07,Poonamallee,5,5-9,Thiruvallur,SC,15,M
10,Purushothaman B,Independent,173,2,175,0.07,Poonamallee,5,5-10,Thiruvallur,SC,14,M
11,Ravikumar M,Independent,448,0,448,0.17,Poonamallee,5,5-11,Thiruvallur,SC,8,M
12,Rajesh P,Independent,241,0,241,0.09,Poonamallee,5,5-12,Thiruvallur,SC,12,M
13,Venkatesan J,Independent,240,0,240,0.09,Poonamallee,5,5-13,Thiruvallur,SC,13,M
14,Velu S,Independent,359,0,359,0.14,Poonamallee,5,5-14,Thiruvallur,SC,10,M
15,NOTA,None of the Above,2849,18,2867,1.09,Poonamallee,5,5-15,Thiruvallur,SC,7,Not Applicable
1,Sankar N M,Desiya Murpokku Dravida Kazhagam,1895,16,1911,0.64,Avadi,6,6-1,Thiruvallur,General,6,M
2,CHARLES S,Bahujan Samaj Party,763,10,773,0.26,Avadi,6,6-2,Thiruvallur,General,8,M
3,Nasar S M,Dravida Munnetra Kazhagam,148845,1442,150287,49.94,Avadi,6,6-3,Thiruvallur,General,1,M
4,Pandiarajan K,All India Anna Dravida Munnetra Kazhagam,94331,681,95012,31.57,Avadi,6,6-4,Thiruvallur,General,2,M
5,Udhayakumar V,Makkal Needhi Maiam,16982,110,17092,5.68,Avadi,6,6-5,Thiruvallur,General,4,M
6,Balasubramanian M,Tamil Nadu Ilangyar Katchi,1251,12,1263,0.42,Avadi,6,6-6,Thiruvallur,General,7,M
7,Banumathi,My India Party,126,1,127,0.04,Avadi,6,6-7,Thiruvallur,General,15,F
8,Raman N,Tamilnadu Makkal Nalvazhvu Periyakkam,120,0,120,0.04,Avadi,6,6-8,Thiruvallur,General,16,M
9,VIJAYALAKSHMI G,Naam Tamilar Katchi,29953,134,30087,10.0,Avadi,6,6-9,Thiruvallur,General,3,F
10,Viswanathan R,MGR Makkal Katchi,108,0,108,0.04,Avadi,6,6-10,Thiruvallur,General,17,M
11,Akilan T.M.,Independent,72,0,72,0.02,Avadi,6,6-11,Thiruvallur,General,21,M
12,Chandrasekar.A,Independent,105,0,105,0.03,Avadi,6,6-12,Thiruvallur,General,18,M
13,Sugumar M,Independent,143,0,143,0.05,Avadi,6,6-13,Thiruvallur,General,14,M
14,Dharani K,Independent,184,3,187,0.06,Avadi,6,6-14,Thiruvallur,General,13,M
15,Durgaprasad G,Independent,73,2,75,0.02,Avadi,6,6-15,Thiruvallur,General,20,M
16,Nagaraj M,Independent,198,0,198,0.07,Avadi,6,6-16,Thiruvallur,General,12,M
17,Pandiarajan G,Independent,359,1,360,0.12,Avadi,6,6-17,Thiruvallur,General,9,M
18,Venkatesan M,Independent,95,0,95,0.03,Avadi,6,6-18,Thiruvallur,General,19,M
19,Jayakumar P,Independent,299,1,300,0.1,Avadi,6,6-19,Thiruvallur,General,10,M
20,Shanavas Khan J,Independent,231,0,231,0.08,Avadi,6,6-20,Thiruvallur,General,11,M
21,NOTA,None of the Above,2361,20,2381,0.79,Avadi,6,6-21,Thiruvallur,General,5,Not Applicable
1,GANAPATHY.K,Dravida Munnetra Kazhagam,120441,857,121298,44.29,Maduravoyal,7,7-1,Thiruvallur,General,1,M
2,SANTHAKUMAR.Y,Bahujan Samaj Party,622,6,628,0.23,Maduravoyal,7,7-2,Thiruvallur,General,8,M
3,BENJAMIN.P,All India Anna Dravida Munnetra Kazhagam,89313,264,89577,32.71,Maduravoyal,7,7-3,Thiruvallur,General,2,M
4,LAVANYA.P,Nationalist Congress Party,348,1,349,0.13,Maduravoyal,7,7-4,Thiruvallur,General,10,F
5,GANESHKUMAR.G,Naam Tamilar Katchi,20999,46,21045,7.68,Maduravoyal,7,7-5,Thiruvallur,General,4,M
6,SHANMUGAM.K,Tamil Nadu Ilangyar Katchi,906,2,908,0.33,Maduravoyal,7,7-6,Thiruvallur,General,7,M
7,SUMITHRA.R,Bahujan Dravida Party,64,0,64,0.02,Maduravoyal,7,7-7,Thiruvallur,General,20,F
8,NEVIS STELLA MARY.B,Anaithu Makkal Arasiyal Katchi,124,0,124,0.05,Maduravoyal,7,7-8,Thiruvallur,General,15,F
9,PADMA PRIYA.S,Makkal Needhi Maiam,33310,91,33401,12.2,Maduravoyal,7,7-9,Thiruvallur,General,3,F
10,MUTHURAMAN.S,Anna MGR Dravida Makkal Kalgam,69,0,69,0.03,Maduravoyal,7,7-10,Thiruvallur,General,18,M
11,LUCKY MURUGAN.E,Amma Makkal Munnettra Kazagam,2648,12,2660,0.97,Maduravoyal,7,7-11,Thiruvallur,General,5,M
12,ABARAJITHAN.R,Independent,142,1,143,0.05,Maduravoyal,7,7-12,Thiruvallur,General,14,M
13,AMALRAJ.S,Independent,69,0,69,0.03,Maduravoyal,7,7-13,Thiruvallur,General,19,M
14,ARUNKUMAR.A,Independent,95,0,95,0.03,Maduravoyal,7,7-14,Thiruvallur,General,17,M
15,GANAPATHY.R,Independent,96,0,96,0.04,Maduravoyal,7,7-15,Thiruvallur,General,16,M
16,SELVAKUMAR.V,Independent,287,0,287,0.1,Maduravoyal,7,7-16,Thiruvallur,General,11,M
17,PRIYA.K,Independent,552,1,553,0.2,Maduravoyal,7,7-17,Thiruvallur,General,9,F
18,BENJAMIN MOSES.S,Independent,149,0,149,0.05,Maduravoyal,7,7-18,Thiruvallur,General,13,M
19,MURUGAN.D,Independent,161,0,161,0.06,Maduravoyal,7,7-19,Thiruvallur,General,12,M
20,RAVI.C.V,Independent,48,0,48,0.02,Maduravoyal,7,7-20,Thiruvallur,General,21,M
21,NOTA,None of the Above,2137,9,2146,0.78,Maduravoyal,7,7-21,Thiruvallur,General,6,Not Applicable
1,V ALEXANDER,All India Anna Dravida Munnetra Kazhagam,71908,500,72408,30.13,Ambattur,8,8-1,Thiruvallur,General,2,M
2,R Radha,Nationalist Congress Party,613,2,615,0.26,Ambattur,8,8-2,Thiruvallur,General,8,F
3,JOSEPH SAMUEL,Dravida Munnetra Kazhagam,113371,1183,114554,47.67,Ambattur,8,8-3,Thiruvallur,General,1,M
4,R ANBU THENARASAN,Naam Tamilar Katchi,22638,63,22701,9.45,Ambattur,8,8-4,Thiruvallur,General,3,M
5,S Veena,Anaithu Makkal Arasiyal Katchi,231,2,233,0.1,Ambattur,8,8-5,Thiruvallur,General,10,F
6,S VEDHACHALAM,Amma Makkal Munnettra Kazagam,2616,15,2631,1.09,Ambattur,8,8-6,Thiruvallur,General,5,M
7,S VAITHESWARAN,Makkal Needhi Maiam,22286,84,22370,9.31,Ambattur,8,8-7,Thiruvallur,General,4,M
8,M S ARUMUGAM,Independent,141,1,142,0.06,Ambattur,8,8-8,Thiruvallur,General,14,M
9,N Ganesan,Independent,55,0,55,0.02,Ambattur,8,8-9,Thiruvallur,General,21,M
10,A S Kesavan,Independent,59,0,59,0.02,Ambattur,8,8-10,Thiruvallur,General,19,M
11,G Srinivasan,Independent,56,1,57,0.02,Ambattur,8,8-11,Thiruvallur,General,20,M
12,G Soma Sundaram,Independent,80,0,80,0.03,Ambattur,8,8-12,Thiruvallur,General,18,M
13,P Dhanraj,Independent,52,3,55,0.02,Ambattur,8,8-13,Thiruvallur,General,22,M
14,NARMADA NANDHAKUMAR,Independent,176,1,177,0.07,Ambattur,8,8-14,Thiruvallur,General,11,F
15,Bharadan,Independent,111,0,111,0.05,Ambattur,8,8-15,Thiruvallur,General,16,M
16,K Bharathi,Independent,801,6,807,0.34,Ambattur,8,8-16,Thiruvallur,General,7,M
17,S Praveen,Independent,251,0,251,0.1,Ambattur,8,8-17,Thiruvallur,General,9,M
18,A R MURUGAVEL,Independent,94,1,95,0.04,Ambattur,8,8-18,Thiruvallur,General,17,M
19,T MUNIANDI,Independent,156,0,156,0.06,Ambattur,8,8-19,Thiruvallur,General,13,M
20,Ravi,Independent,44,0,44,0.02,Ambattur,8,8-20,Thiruvallur,General,23,M
21,C RAGHUL,Independent,138,1,139,0.06,Ambattur,8,8-21,Thiruvallur,General,15,M
22,G Vijayakumar,Independent,39,0,39,0.02,Ambattur,8,8-22,Thiruvallur,General,24,M
23,T Joseph Samuvel SanthaKumar,Independent,162,0,162,0.07,Ambattur,8,8-23,Thiruvallur,General,12,M
24,NOTA,None of the Above,2332,26,2358,0.98,Ambattur,8,8-24,Thiruvallur,General,6,Not Applicable
1,SUDHARSANAM. S,Dravida Munnetra Kazhagam,150654,831,151485,50.04,Madavaram,9,9-1,Thiruvallur,General,1,M
2,DEEPAK. S,Bahujan Samaj Party,1390,3,1393,0.46,Madavaram,9,9-2,Thiruvallur,General,7,M
3,Moorthy. V,All India Anna Dravida Munnetra Kazhagam,94206,208,94414,31.19,Madavaram,9,9-3,Thiruvallur,General,2,M
4,ARAVIND KUMAR. P,Desiya Makkal Sakthi Katchi,465,0,465,0.15,Madavaram,9,9-4,Thiruvallur,General,8,M
5,ELUMALAI. R,Naam Tamilar Katchi,27411,42,27453,9.07,Madavaram,9,9-5,Thiruvallur,General,3,M
6,SAMBATH. E,Shiv Sena,175,0,175,0.06,Madavaram,9,9-6,Thiruvallur,General,12,M
7,DHAKSHNAMOORTHY. D,Amma Makkal Munnettra Kazagam,7088,16,7104,2.35,Madavaram,9,9-7,Thiruvallur,General,5,M
8,YUVARAJ. M,Anna MGR Dravida Makkal Kalgam,81,0,81,0.03,Madavaram,9,9-8,Thiruvallur,General,19,M
9,VINOTH KUMAR. M,Naadaalum Makkal Katchi,113,1,114,0.04,Madavaram,9,9-9,Thiruvallur,General,15,M
10,RAMESH,Makkal Needhi Maiam,15838,39,15877,5.25,Madavaram,9,9-10,Thiruvallur,General,4,M
11,ARIVUNITHI. S,Independent,108,0,108,0.04,Madavaram,9,9-11,Thiruvallur,General,16,M
12,SAKTHIVEL. A,Independent,83,2,85,0.03,Madavaram,9,9-12,Thiruvallur,General,18,M
13,SATHISH KUMAR. S,Independent,62,0,62,0.02,Madavaram,9,9-13,Thiruvallur,General,20,M
14,SUDHARSANAN. D,Independent,169,1,170,0.06,Madavaram,9,9-14,Thiruvallur,General,13,M
15,NIRMAL KUMAR. M,Independent,101,0,101,0.03,Madavaram,9,9-15,Thiruvallur,General,17,M
16,BABU. M.G,Independent,411,2,413,0.14,Madavaram,9,9-16,Thiruvallur,General,11,M
17,MOORTHY. S,Independent,437,0,437,0.14,Madavaram,9,9-17,Thiruvallur,General,9,M
18,RAMESH. G,Independent,47,0,47,0.02,Madavaram,9,9-18,Thiruvallur,General,21,M
19,RAMU. S,Independent,431,0,431,0.14,Madavaram,9,9-19,Thiruvallur,General,10,M
20,JAYASEELAN. S,Independent,119,0,119,0.04,Madavaram,9,9-20,Thiruvallur,General,14,M
21,NOTA,None of the Above,2161,5,2166,0.72,Madavaram,9,9-21,Thiruvallur,General,6,Not Applicable
1,K.KUPPAN,All India Anna Dravida Munnetra Kazhagam,50435,89,50524,25.26,Thiruvottiyur,10,10-1,Thiruvallur,General,2,M
2,M.KOTTESWARAN,Bahujan Samaj Party,367,0,367,0.18,Thiruvottiyur,10,10-2,Thiruvallur,General,9,M
3,K.P.SHANKAR,Dravida Munnetra Kazhagam,87703,482,88185,44.09,Thiruvottiyur,10,10-3,Thiruvallur,General,1,M
4,R.EGAVALLI,Naadaalum Makkal Katchi,253,0,253,0.13,Thiruvottiyur,10,10-4,Thiruvallur,General,11,F
5,D.SASIRAJ,Samata Party,291,0,291,0.15,Thiruvottiyur,10,10-5,Thiruvallur,General,10,M
6,SEEMAN,Naam Tamilar Katchi,48497,100,48597,24.3,Thiruvottiyur,10,10-6,Thiruvallur,General,3,M
7,M.SOUNDARA PANDIAN,Amma Makkal Munnettra Kazagam,1413,4,1417,0.71,Thiruvottiyur,10,10-7,Thiruvallur,General,5,M
8,D.MOHAN,Makkal Needhi Maiam,7025,28,7053,3.53,Thiruvottiyur,10,10-8,Thiruvallur,General,4,M
9,K.GOPINATH,Independent,96,0,96,0.05,Thiruvottiyur,10,10-9,Thiruvallur,General,16,M
10,V.SURESHBALAJI,Independent,29,0,29,0.01,Thiruvottiyur,10,10-10,Thiruvallur,General,21,M
11,M.CHELLAM,Independent,184,0,184,0.09,Thiruvottiyur,10,10-11,Thiruvallur,General,13,F
12,D.THAMIZHIZHAN,Independent,103,0,103,0.05,Thiruvottiyur,10,10-12,Thiruvallur,General,15,M
13,B.DHANASEKARAN,Independent,88,0,88,0.04,Thiruvottiyur,10,10-13,Thiruvallur,General,17,M
14,C.DHANRAJ,Independent,115,0,115,0.06,Thiruvottiyur,10,10-14,Thiruvallur,General,14,M
15,PRAVINA,Independent,52,0,52,0.03,Thiruvottiyur,10,10-15,Thiruvallur,General,19,F
16,M.A.MICHAEL RAJ,Independent,601,2,603,0.3,Thiruvottiyur,10,10-16,Thiruvallur,General,7,M
17,N.RAMESH KUMAR,Independent,584,1,585,0.29,Thiruvottiyur,10,10-17,Thiruvallur,General,8,M
18,N.RAJESH KUMAR,Independent,48,0,48,0.02,Thiruvottiyur,10,10-18,Thiruvallur,General,20,M
19,U.VENKATESH,Independent,224,0,224,0.11,Thiruvottiyur,10,10-19,Thiruvallur,General,12,M
20,B.ZAKIR HUSSAIN,Independent,71,0,71,0.04,Thiruvottiyur,10,10-20,Thiruvallur,General,18,M
21,NOTA,None of the Above,1106,5,1111,0.56,Thiruvottiyur,10,10-21,Thiruvallur,General,6,Not Applicable
1,EBENEZER. J.J. (@)  JOHN EBENEZER.J,Dravida Munnetra Kazhagam,95516,247,95763,51.2,Dr.Radhakrishnan Nagar,11,11-1,Chennai,General,1,M
2,RAAJESH.R.S.,All India Anna Dravida Munnetra Kazhagam,53204,80,53284,28.49,Dr.Radhakrishnan Nagar,11,11-2,Chennai,General,2,M
3,VIJAYAN.P,Bahujan Samaj Party,361,0,361,0.19,Dr.Radhakrishnan Nagar,11,11-3,Chennai,General,8,M
4,RAMADASS . E,Makkal Nalvaazhvuk Katchi,104,0,104,0.06,Dr.Radhakrishnan Nagar,11,11-4,Chennai,General,14,M
5,DR. KALIDAS . P,Amma Makkal Munnettra Kazagam,1848,4,1852,0.99,Dr.Radhakrishnan Nagar,11,11-5,Chennai,General,5,M
6,GOWRISHANKAR . K,Naam Tamilar Katchi,20401,36,20437,10.93,Dr.Radhakrishnan Nagar,11,11-6,Chennai,General,3,M
7,SIVAKUMAR.S,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),214,1,215,0.11,Dr.Radhakrishnan Nagar,11,11-7,Chennai,General,11,M
8,FAZIL . A,Makkal Needhi Maiam,11181,17,11198,5.99,Dr.Radhakrishnan Nagar,11,11-8,Chennai,General,4,M
9,BABU MAILAN . A,Republican Party of India (Athawale),115,0,115,0.06,Dr.Radhakrishnan Nagar,11,11-9,Chennai,General,12,M
10,MOHAN . R,United States of India Party,79,0,79,0.04,Dr.Radhakrishnan Nagar,11,11-10,Chennai,General,17,M
11,VENUGOPAL.D,Shiv Sena,32,2,34,0.02,Dr.Radhakrishnan Nagar,11,11-11,Chennai,General,29,M
12,ETHIRAJ.R,Independent,26,0,26,0.01,Dr.Radhakrishnan Nagar,11,11-12,Chennai,General,31,M
13,KANDEEPAN.G,Independent,111,0,111,0.06,Dr.Radhakrishnan Nagar,11,11-13,Chennai,General,13,M
14,KALIDASS,Independent,67,0,67,0.04,Dr.Radhakrishnan Nagar,11,11-14,Chennai,General,18,M
15,GUNASEKARAN.G,Independent,92,0,92,0.05,Dr.Radhakrishnan Nagar,11,11-15,Chennai,General,15,M
16,SASIDARAN.S,Independent,241,0,241,0.13,Dr.Radhakrishnan Nagar,11,11-16,Chennai,General,9,M
17,SANTHAKUMAR . A,Independent,557,0,557,0.3,Dr.Radhakrishnan Nagar,11,11-17,Chennai,General,7,M
18,Daniel Sachin Mani.E,Independent,222,0,222,0.12,Dr.Radhakrishnan Nagar,11,11-18,Chennai,General,10,M
19,DEVAKUMAR.R,Independent,48,0,48,0.03,Dr.Radhakrishnan Nagar,11,11-19,Chennai,General,21,M
20,DEVARAJ.M,Independent,48,0,48,0.03,Dr.Radhakrishnan Nagar,11,11-20,Chennai,General,20,M
21,FRANKLIN.D,Independent,44,0,44,0.02,Dr.Radhakrishnan Nagar,11,11-21,Chennai,General,23,M
22,PREMKUMAR.P,Independent,79,0,79,0.04,Dr.Radhakrishnan Nagar,11,11-22,Chennai,General,16,M
23,PURUSHOTHAMAN . K,Independent,44,0,44,0.02,Dr.Radhakrishnan Nagar,11,11-23,Chennai,General,24,M
24,BOOTHIRAJAN.G,Independent,39,0,39,0.02,Dr.Radhakrishnan Nagar,11,11-24,Chennai,General,25,M
25,MADHAN RAJ . D,Independent,22,0,22,0.01,Dr.Radhakrishnan Nagar,11,11-25,Chennai,General,32,M
26,MARIMUTHU.P,Independent,38,0,38,0.02,Dr.Radhakrishnan Nagar,11,11-26,Chennai,General,26,M
27,RAJESH . I,Independent,47,0,47,0.03,Dr.Radhakrishnan Nagar,11,11-27,Chennai,General,22,M
28,RAJESH . S,Independent,36,1,37,0.02,Dr.Radhakrishnan Nagar,11,11-28,Chennai,General,27,M
29,VIVEK.C,Independent,27,0,27,0.01,Dr.Radhakrishnan Nagar,11,11-29,Chennai,General,30,M
30,VENKATRAMAN . C,Independent,36,1,37,0.02,Dr.Radhakrishnan Nagar,11,11-30,Chennai,General,28,M
31,SRIDHAR . C,Independent,55,0,55,0.03,Dr.Radhakrishnan Nagar,11,11-31,Chennai,General,19,M
32,NOTA,None of the Above,1702,2,1704,0.91,Dr.Radhakrishnan Nagar,11,11-32,Chennai,General,6,Not Applicable
1,SURESH. C,Bahujan Samaj Party,515,0,515,0.26,Perambur,12,12-1,Chennai,General,7,M
2,SHEKAR. R.D,Dravida Munnetra Kazhagam,104580,687,105267,52.53,Perambur,12,12-2,Chennai,General,1,M
3,DHANAPALAN N.R,All India Anna Dravida Munnetra Kazhagam,50093,198,50291,25.1,Perambur,12,12-3,Chennai,General,2,M
4,SOOSAI. M.A,Republican Party of India (Athawale),296,0,296,0.15,Perambur,12,12-4,Chennai,General,8,M
5,SEBASTIN. J,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),194,0,194,0.1,Perambur,12,12-5,Chennai,General,9,M
6,PONNUSAMY. A,Makkal Needhi Maiam,17026,46,17072,8.52,Perambur,12,12-6,Chennai,General,4,M
7,MERLIN SUGANTHI. S,Naam Tamilar Katchi,19787,34,19821,9.89,Perambur,12,12-7,Chennai,General,3,F
8,LAKSHMI NARAYANAN. E,Amma Makkal Munnettra Kazagam,4039,3,4042,2.02,Perambur,12,12-8,Chennai,General,5,M
9,UDAYAKUMAR. S,Independent,59,1,60,0.03,Perambur,12,12-9,Chennai,General,19,M
10,KADHIRAVAN. M,Independent,48,0,48,0.02,Perambur,12,12-10,Chennai,General,20,M
11,SATHISHKUMAR. S,Independent,106,0,106,0.05,Perambur,12,12-11,Chennai,General,15,M
12,SATHEESH. J,Independent,174,0,174,0.09,Perambur,12,12-12,Chennai,General,10,M
13,SARAVANA PERUMAL. R,Independent,65,0,65,0.03,Perambur,12,12-13,Chennai,General,18,M
14,SELVARAJ. R,Independent,86,1,87,0.04,Perambur,12,12-14,Chennai,General,17,M
15,SEKAR. P,Independent,166,0,166,0.08,Perambur,12,12-15,Chennai,General,12,M
16,PARTHIPAN. P,Independent,172,0,172,0.09,Perambur,12,12-16,Chennai,General,11,M
17,PREM ANAND. J,Independent,112,0,112,0.06,Perambur,12,12-17,Chennai,General,14,M
18,RAJESH. K,Independent,163,0,163,0.08,Perambur,12,12-18,Chennai,General,13,M
19,RAJESH KUMAR. S,Independent,90,0,90,0.04,Perambur,12,12-19,Chennai,General,16,M
20,VASANTHA KUMAR. M,Independent,40,0,40,0.02,Perambur,12,12-20,Chennai,General,23,M
21,VINOTHKUMAR. G,Independent,45,0,45,0.02,Perambur,12,12-21,Chennai,General,22,M
22,VENKATESH. L,Independent,46,0,46,0.02,Perambur,12,12-22,Chennai,General,21,M
23,NOTA,None of the Above,1508,7,1515,0.76,Perambur,12,12-23,Chennai,General,6,Not Applicable
1,AADIRAJARAM,All India Anna Dravida Munnetra Kazhagam,34801,337,35138,20.27,Kolathur,13,13-1,Chennai,General,2,M
2,MJS.JAMAL MOHAMED MEERA,Bahujan Samaj Party,1286,9,1295,0.75,Kolathur,13,13-2,Chennai,General,6,M
3,M.K. STALIN,Dravida Munnetra Kazhagam,104305,1217,105522,60.86,Kolathur,13,13-3,Chennai,General,1,M
