O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,constituency,constituency_id,pk,District,Constituency Type,position,Gender
5,"Vinodh, V.",Naam Tamilar Katchi,15637,88,15725,8.59,Tiruchirappalli (West),140,140-5,Tiruchirappalli,General,3,M
6,"Kalpana, T.",Independent,193,3,196,0.11,Tiruchirappalli (West),140,140-6,Tiruchirappalli,General,9,F
7,"Sahabudheen, A.J.",Independent,41,2,43,0.02,Tiruchirappalli (West),140,140-7,Tiruchirappalli,General,13,M
8,"Sudha, R.",Independent,216,6,222,0.12,Tiruchirappalli (West),140,140-8,Tiruchirappalli,General,7,F
9,"Sundar Rajulu, G.",Independent,40,2,42,0.02,Tiruchirappalli (West),140,140-9,Tiruchirappalli,General,14,M
10,"Selvaraj, D.",Independent,48,0,48,0.03,Tiruchirappalli (West),140,140-10,Tiruchirappalli,General,12,M
11,"Dheepan, M.",Independent,65,1,66,0.04,Tiruchirappalli (West),140,140-11,Tiruchirappalli,General,11,M
12,"Vasudevan, A.",Independent,211,0,211,0.12,Tiruchirappalli (West),140,140-12,Tiruchirappalli,General,8,M
13,"Shajahan, R.",Independent,181,0,181,0.1,Tiruchirappalli (West),140,140-13,Tiruchirappalli,General,10,M
14,NOTA,None of the Above,2079,38,2117,1.16,Tiruchirappalli (West),140,140-14,Tiruchirappalli,General,6,Not Applicable
1,"INIGO IRUDAYARAJ,S.",Dravida Munnetra Kazhagam,92645,1657,94302,54.56,Tiruchirappalli (East),141,141-1,Tiruchirappalli,General,1,M
2,"VELLAMANDI NATARAJAN,N.",All India Anna Dravida Munnetra Kazhagam,40109,396,40505,23.43,Tiruchirappalli (East),141,141-2,Tiruchirappalli,General,2,M
3,"PRABU,R.",Naam Tamilar Katchi,14211,101,14312,8.28,Tiruchirappalli (East),141,141-3,Tiruchirappalli,General,3,M
4,MANOHARAN.R.,Amma Makkal Munnettra Kazagam,9010,79,9089,5.26,Tiruchirappalli (East),141,141-4,Tiruchirappalli,General,5,M
5,VIJAIA MOHANAAJI,Vidial Valarchi Perani,105,0,105,0.06,Tiruchirappalli (East),141,141-5,Tiruchirappalli,General,12,M
6,"VEERASAKTHI,D.",Makkal Needhi Maiam,11309,87,11396,6.59,Tiruchirappalli (East),141,141-6,Tiruchirappalli,General,4,M
7,"ARAVINDAN,P.",Independent,85,0,85,0.05,Tiruchirappalli (East),141,141-7,Tiruchirappalli,General,13,M
8,"AROCKIA SATHEESH,A.",Independent,69,1,70,0.04,Tiruchirappalli (East),141,141-8,Tiruchirappalli,General,16,M
9,"IRUDAYARAJ,S.",Independent,55,3,58,0.03,Tiruchirappalli (East),141,141-9,Tiruchirappalli,General,17,M
10,"GASPAR REGAN,S.",Independent,49,1,50,0.03,Tiruchirappalli (East),141,141-10,Tiruchirappalli,General,18,M
11,"CHARLES SAGAYARAJ,P.",Independent,69,4,73,0.04,Tiruchirappalli (East),141,141-11,Tiruchirappalli,General,14,M
12,"DEVAKUMAR,T.",Independent,72,1,73,0.04,Tiruchirappalli (East),141,141-12,Tiruchirappalli,General,15,M
13,"BALAMURUGAN,A.",Independent,211,0,211,0.12,Tiruchirappalli (East),141,141-13,Tiruchirappalli,General,8,M
14,"MARUTHAMUTHU,N.",Independent,45,1,46,0.03,Tiruchirappalli (East),141,141-14,Tiruchirappalli,General,19,M
15,"MANOHARAN,M.",Independent,157,0,157,0.09,Tiruchirappalli (East),141,141-15,Tiruchirappalli,General,11,M
16,"RAJA,S.",Independent,381,1,382,0.22,Tiruchirappalli (East),141,141-16,Tiruchirappalli,General,7,M
17,"JAHIR HUSSAIN,M.",Independent,207,1,208,0.12,Tiruchirappalli (East),141,141-17,Tiruchirappalli,General,9,M
18,"SHEIK ABDULLAH,R.",Independent,199,0,199,0.12,Tiruchirappalli (East),141,141-18,Tiruchirappalli,General,10,M
19,NOTA,None of the Above,1504,31,1535,0.89,Tiruchirappalli (East),141,141-19,Tiruchirappalli,General,6,Not Applicable
1,ANBIL MAHESH POYYAMOZHI,Dravida Munnetra Kazhagam,103673,1751,105424,53.51,Thiruverumbur,142,142-1,Tiruchirappalli,General,1,M
2,P KUMAR,All India Anna Dravida Munnetra Kazhagam,55309,418,55727,28.29,Thiruverumbur,142,142-2,Tiruchirappalli,General,2,M
3,S.  SENTHILKUMAR,Desiya Murpokku Dravida Kazhagam,2260,33,2293,1.16,Thiruverumbur,142,142-3,Tiruchirappalli,General,5,M
4,MALATHI RAVICHANDRAN,Bahujan Samaj Party,225,1,226,0.11,Thiruverumbur,142,142-4,Tiruchirappalli,General,9,F
5,K.M. KARTHIK,Tamil Nadu Ilangyar Katchi,408,5,413,0.21,Thiruverumbur,142,142-5,Tiruchirappalli,General,8,M
6,S.SAKTHIVEL,New Generation People’s Party,414,2,416,0.21,Thiruverumbur,142,142-6,Tiruchirappalli,General,7,M
7,V CHOLASOORAN,Naam Tamilar Katchi,15628,91,15719,7.98,Thiruverumbur,142,142-7,Tiruchirappalli,General,3,M
8,K. PALANISAMY,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,122,1,123,0.06,Thiruverumbur,142,142-8,Tiruchirappalli,General,11,M
9,MURUGANANDAM M,Makkal Needhi Maiam,14547,131,14678,7.45,Thiruverumbur,142,142-9,Tiruchirappalli,General,4,M
